temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,x,y,direction,congestion
288.28,0.0,0.0,40,Clouds,scattered clouds,2012-10-02 09:00:00,0,0,EB,70
289.36,0.0,0.0,75,Clouds,broken clouds,2012-10-02 10:00:00,0,0,NB,49
289.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 11:00:00,0,0,SB,24
290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 12:00:00,0,1,EB,18
291.14,0.0,0.0,75,Clouds,broken clouds,2012-10-02 13:00:00,0,1,NB,60
291.72,0.0,0.0,1,Clear,sky is clear,2012-10-02 14:00:00,0,1,SB,58
293.17,0.0,0.0,1,Clear,sky is clear,2012-10-02 15:00:00,0,1,WB,26
293.86,0.0,0.0,1,Clear,sky is clear,2012-10-02 16:00:00,0,2,EB,31
294.14,0.0,0.0,20,Clouds,few clouds,2012-10-02 17:00:00,0,2,NB,49
293.1,0.0,0.0,20,Clouds,few clouds,2012-10-02 18:00:00,0,2,SB,46
290.97,0.0,0.0,20,Clouds,few clouds,2012-10-02 19:00:00,0,2,WB,29
289.38,0.0,0.0,1,Clear,sky is clear,2012-10-02 20:00:00,0,3,EB,18
288.61,0.0,0.0,1,Clear,sky is clear,2012-10-02 21:00:00,0,3,NB,16
287.16,0.0,0.0,1,Clear,sky is clear,2012-10-02 22:00:00,0,3,NE,21
285.45,0.0,0.0,1,Clear,sky is clear,2012-10-02 23:00:00,0,3,SB,49
284.63,0.0,0.0,1,Clear,sky is clear,2012-10-03 00:00:00,0,3,SW,47
283.47,0.0,0.0,1,Clear,sky is clear,2012-10-03 01:00:00,0,3,WB,51
281.18,0.0,0.0,1,Clear,sky is clear,2012-10-03 02:00:00,1,0,EB,74
281.09,0.0,0.0,1,Clear,sky is clear,2012-10-03 03:00:00,1,0,NB,74
279.53,0.0,0.0,1,Clear,sky is clear,2012-10-03 04:00:00,1,0,NE,43
278.62,0.0,0.0,1,Clear,sky is clear,2012-10-03 05:00:00,1,0,SB,44
278.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 06:00:00,1,0,SW,52
278.12,0.0,0.0,1,Clear,sky is clear,2012-10-03 08:00:00,1,0,WB,32
282.48,0.0,0.0,1,Clear,sky is clear,2012-10-03 09:00:00,1,1,EB,44
291.97,0.0,0.0,1,Clear,sky is clear,2012-10-03 12:00:00,1,1,NB,77
293.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 13:00:00,1,1,SB,39
294.31,0.0,0.0,1,Clear,sky is clear,2012-10-03 14:00:00,1,1,WB,63
295.17,0.0,0.0,1,Clear,sky is clear,2012-10-03 15:00:00,1,2,EB,53
295.13,0.0,0.0,1,Clear,sky is clear,2012-10-03 16:00:00,1,2,NB,28
293.66,0.0,0.0,20,Clouds,few clouds,2012-10-03 18:00:00,1,2,NE,24
290.65,0.0,0.0,20,Clouds,few clouds,2012-10-03 19:00:00,1,2,SB,29
288.19,0.0,0.0,20,Clouds,few clouds,2012-10-03 20:00:00,1,2,SW,54
287.1,0.0,0.0,1,Clear,sky is clear,2012-10-03 21:00:00,1,2,WB,46
286.25,0.0,0.0,1,Clear,sky is clear,2012-10-03 22:00:00,1,3,EB,41
285.26,0.0,0.0,1,Clear,sky is clear,2012-10-03 23:00:00,1,3,NB,44
284.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 00:00:00,1,3,NE,44
283.47,0.0,0.0,1,Clear,sky is clear,2012-10-04 01:00:00,1,3,SB,37
283.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 02:00:00,1,3,SW,15
282.04,0.0,0.0,1,Clear,sky is clear,2012-10-04 03:00:00,1,3,WB,46
281.69,0.0,0.0,1,Clear,sky is clear,2012-10-04 04:00:00,2,0,EB,44
281.32,0.0,0.0,1,Clear,sky is clear,2012-10-04 05:00:00,2,0,NB,39
280.74,0.0,0.0,1,Clear,sky is clear,2012-10-04 06:00:00,2,0,SB,26
280.57,0.0,0.0,1,Clear,sky is clear,2012-10-04 07:00:00,2,0,WB,61
281.86,0.0,0.0,1,Clear,sky is clear,2012-10-04 08:00:00,2,1,EB,65
